id,name,ra,dec,distance,mag,absmag,spectrum
1702,,14.33876465,-56.38647906,363.636363636364,4.3,-3.5033364,B
1703,,14.34263313,-37.88526711,75.8150113722517,4.05,-0.348776,A
1704,,14.34515304,-45.1868814,45.5580865603645,4.78,1.4871726,F
1705,,14.37311027,-80.108911,168.918918918919,5.06,-1.0783914,B
1706,,14.37697832,-58.45915834,86.5051903114187,4.76,0.074789174,G
1707,,14.38396035,-39.51176599,128.369704749679,4.41,-1.1323127,B
1708,,14.38497437,-27.75373395,53.5618639528656,4.78,1.1357216,K
1709,,14.38965001,8.44664037,65.9195781147001,4.86,0.7649279,A
1710,,14.40316398,5.82011481,46.3821892393321,5.1,1.7682438,A
1711,,14.41351683,-24.80626639,122.549019607843,5.34,-0.10154921,K
1712,,14.42000537,51.85171354,14.5708873670407,4.04,3.22257,F
1713,,14.43562084,-45.22138996,317.460317460317,4.56,-2.9484472,B
1714,,14.43633376,-45.37926095,96.3391136801541,4.33,-0.5890132,A
1715,,14.44094674,19.2268349,87.8734622144112,5.4,0.6807113,F
1716,,14.44881687,-83.66785308,85.4700854700855,4.31,-0.3490707,K
1717,,14.45875625,75.69593921,105.708245243129,4.25,-0.8705443,K
1718,,14.46956759,-29.49157976,127.388535031847,4.97,-0.5556517,B
1719,,14.4700612,-2.22795009,41.407867494824,4.81,1.7245857,G
1720,,14.47825852,-6.90041401,146.842878120411,5.42,-0.41426444,K
1721,,14.50583129,-49.51892657,68.212824010914,5.38,1.2106699,A
1722,,14.53051606,30.37114497,45.6204379562044,3.57,0.27420273,K
1723,,14.53465494,38.30788348,26.1164794985636,3.04,0.9554268,A
1724,,14.54363429,-50.45712132,176.056338028169,4.44,-1.7882583,B
1725,,14.57796958,29.74480735,15.4655119084442,4.47,3.5231786,F
1726,,14.5917921,-42.15774562,94.6073793755913,2.33,-2.5496252,B
1727,,14.62226805,-46.13341306,409.83606557377,5.39,-2.6730509,K
1728,,14.63145864,-49.42575765,95.1474785918173,4.05,-0.8419864,B
1729,,14.64730048,44.40454503,60.3864734299517,5.39,1.4853016,A
